AUTHOR,BORN-DIED,TITLE,TECHNIQUE,LOCATION,URL,TYPE,FORM,SCHOOL,TIMEFRAME,,
"ARCHITECT, Italian",(active 1153-1265 in Tuscany),Exterior view,Photo,"Baptistry, Pisa (Tuscany)",http://www.wga.hu/art/zzzarchi/12c/3/06i_1104.jpg,architecture,other,Italian,1151-1200,,
"ARCHITECT, Italian",(active mid-13th century in Siena),Exterior view,Photo,"Duomo, Siena",http://www.wga.hu/art/zzzarchi/13c/3/1siena11a.jpg,architecture,other,Italian,1251-1300,,
"ARCHITECT, Italian",(active after 1285 in Florence),Exterior view,Photo,"Orsanmichele, Florence",http://www.wga.hu/art/zzzarchi/13c/3/2flore4.jpg,architecture,other,Italian,1251-1300,,
"ARCHITECT, Italian",(active mid-14th century in Florence),Exterior view,Photo,Palazzo Davanzati. Florence,http://www.wga.hu/art/zzzarchi/14c/3/2floren5.jpg,architecture,other,Italian,1301-1350,,
"ARCHITECT, Italian",(active after 1465 in Florence),Exterior view,Photo,"Villa Medicea, Castello",http://www.wga.hu/art/zzzarchi/15c/3/4other3.jpg,architecture,other,Italian,1451-1500,,
"ARCHITECT, Italian",(active 1480-1511 in Rome),Internal view,Photo,"Palazzo della Cancelleria, Roma",http://www.wga.hu/art/zzzarchi/16c/3/2rome04.jpg,architecture,interior,Italian,1501-1550,,
"ARCHITECT, Italian",(active 1480-1511 in Rome),Internal view,Photo,"Palazzo della Cancelleria, Roma",http://www.wga.hu/art/zzzarchi/16c/3/2rome05.jpg,architecture,interior,Italian,1501-1550,,
"ARCHITECT, Italian",(active 1480-1511 in Rome),Internal view,Photo,"Palazzo della Cancelleria, Roma",http://www.wga.hu/art/zzzarchi/16c/3/2rome06.jpg,architecture,interior,Italian,1501-1550,,
"ARCHITECT, Italian",(active around 1540 in Rome),Exterior view,Photo,"Palazzo Spada, Rome",http://www.wga.hu/art/zzzarchi/16c/3/2rome07.jpg,architecture,other,Italian,1501-1550,,
"ARCHITECT, Italian",(active around 1540 in Rome),Exterior view,Photo,"Palazzo Spada, Rome",http://www.wga.hu/art/zzzarchi/16c/3/2rome08.jpg,architecture,other,Italian,1501-1550,,
"ARCHITECT, Portuguese",(active 1667-1679 in Lisbon),Exterior view,Photo,"Palácio Fronteira, Benfica near Lisbon",http://www.wga.hu/art/zzzarchi/17c/5/01p_1651.jpg,architecture,other,Portuguese,1651-1700,,
"ARCHITECT, Portuguese",(active 1667-1679 in Lisbon),Detail of the decoration,Photo,"Palácio Fronteira, Benfica near Lisbon",http://www.wga.hu/art/zzzarchi/17c/5/01p_1652.jpg,architecture,other,Portuguese,1651-1700,,
"ARCHITECT, Portuguese",(active 1667-1679 in Lisbon),Exterior view,Photo,"Palácio Fronteira, Benfica near Lisbon",http://www.wga.hu/art/zzzarchi/17c/5/01p_1653.jpg,architecture,other,Portuguese,1651-1700,,
"ARCHITECT, Portuguese",(active 1667-1679 in Lisbon),Detail of the decoration,Photo,"Palácio Fronteira, Benfica near Lisbon",http://www.wga.hu/art/zzzarchi/17c/5/01p_1654.jpg,architecture,other,Portuguese,1651-1700,,
"ARCHITECT, Portuguese",(active from 1717 in Mafra),Interior view,Photo,"Monastery, Mafra",http://www.wga.hu/art/zzzarchi/18c/5/11p_1701.jpg,architecture,interior,Portuguese,1701-1750,,
"ARCHITECT, Portuguese",(active after 1747 in Qelez),Exterior view,Photo,"Royal Palace, Quelez",http://www.wga.hu/art/zzzarchi/18c/5/12p_1701.jpg,architecture,other,Portuguese,1701-1750,,
"ARCHITECT, Portuguese",(active after 1747 in Qelez),Exterior view,Photo,"Royal Palace, Quelez",http://www.wga.hu/art/zzzarchi/18c/5/12p_1702.jpg,architecture,other,Portuguese,1701-1750,,
"ARCHITECT, Portuguese",(active after 1747 in Qelez),Exterior view,Photo,"Royal Palace, Quelez",http://www.wga.hu/art/zzzarchi/18c/5/12p_1703.jpg,architecture,other,Portuguese,1701-1750,,
"ARCHITECT, Portuguese",(active from 1784-1811),Exterior view,Photo,"Bom Jesus do Monte, Braga",http://www.wga.hu/art/zzzarchi/18c/5/13p_1751.jpg,architecture,other,Portuguese,1751-1800,,
"ARCHITECT, Spanish",(active 1600-1630 in Madrid),Exterior view,Photo,"La Encarnación, Madrid",http://www.wga.hu/art/zzzarchi/17c/5/05s_1601.jpg,architecture,other,Spanish,1601-1650,,
"ARCHITECT, Spanish",(active 1600-1630 in Madrid),Interior view,Photo,"Monastery church, Alcalá de Henares",http://www.wga.hu/art/zzzarchi/17c/5/05s_1602.jpg,architecture,interior,Spanish,1601-1650,,
"ARCHITECT, Spanish",(active 1660s in Andalusia),Exterior view,Photo,"Carthusian monastery, Jerez de la Frontera",http://www.wga.hu/art/zzzarchi/17c/5/06s_1651.jpg,architecture,other,Spanish,1651-1700,,
"ARCHITECT, Spanish",(active 1667-1688 in Andalusia),Exterior view,Photo,"Cathedral, Jaén",http://www.wga.hu/art/zzzarchi/17c/5/07s_1651.jpg,architecture,other,Spanish,1651-1700,,
"ARCHITECT, Spanish",(active 1667-1688 in Andalusia),Exterior view,Photo,"Cathedral, Jaén",http://www.wga.hu/art/zzzarchi/17c/5/07s_1652.jpg,architecture,other,Spanish,1651-1700,,
"ARCHITECT, Spanish",(active 1667-1688 in Andalusia),Exterior view,Photo,"Cathedral, Jaén",http://www.wga.hu/art/zzzarchi/17c/5/07s_1653.jpg,architecture,other,Spanish,1651-1700,,
"ARCHITECT, Spanish",(active c. 1700 in La Granja),General view,Photo,"Gardens, La Granja",http://www.wga.hu/art/zzzarchi/18c/5/01s_1701.jpg,architecture,other,Spanish,1701-1750,,
"ARCHITECT, Spanish",(active c. 1700 in La Granja),General view,Photo,"Gardens, La Granja",http://www.wga.hu/art/zzzarchi/18c/5/01s_1702.jpg,architecture,other,Spanish,1701-1750,,
"ARCHITECT, Spanish",(active 1728-1771 in Seville),Exterior view,Photo,Royal Tobacco Factory,http://www.wga.hu/art/zzzarchi/18c/5/02s_1701.jpg,architecture,other,Spanish,1701-1750,,
"ARCHITECT, Spanish",(active 1740s in Valencia),Exterior view,Photo,"Palace of the Marquis of Dos Aguas, Valencia",http://www.wga.hu/art/zzzarchi/18c/5/03s_1701.jpg,architecture,other,Spanish,1701-1750,,
